smiles,index,type
c1cc(C2=c3cc(Cl)ccc3=NC(=NCC3CC3)CN2O)ccc1,6,augmented
N1(O)CC(=NCC2CC2)N=c2ccc(Cl)cc2=C1c1ccccc1,6,augmented
N1(O)CC(=NCC2CC2)N=c2c(cc(Cl)cc2)=C1c1ccccc1,6,augmented
c1(C2=c3c(ccc(Cl)c3)=NC(=NCC3CC3)CN2O)ccccc1,6,augmented
c1ccc(C2=c3cc(Cl)ccc3=NC(=NCC3CC3)CN2O)cc1,6,augmented
c1cc(C2=c3c(ccc(Cl)c3)=NC(=NCC3CC3)CN2O)ccc1,6,augmented
c12ccc(Cl)cc1=C(c1ccccc1)N(O)CC(=NCC1CC1)N=2,6,augmented
c1(C2=c3cc(Cl)ccc3=NC(=NCC3CC3)CN2O)ccccc1,6,augmented
C(C1CC1)N=C1CN(O)C(c2ccccc2)=c2c(ccc(Cl)c2)=N1,6,augmented
CCC(S(CC)(=O)=O)(C)S(CC)(=O)=O,7,augmented
C(C)S(=O)(=O)C(S(=O)(CC)=O)(C)CC,7,augmented
O=S(CC)(=O)C(S(CC)(=O)=O)(CC)C,7,augmented
C(C(S(CC)(=O)=O)(S(=O)(=O)CC)C)C,7,augmented
O=S(C(CC)(C)S(=O)(CC)=O)(CC)=O,7,augmented
C(S(C(S(=O)(CC)=O)(CC)C)(=O)=O)C,7,augmented
C(C(S(=O)(=O)CC)(C)S(=O)(=O)CC)C,7,augmented
C(C(S(=O)(=O)CC)(C)S(=O)(CC)=O)C,7,augmented
S(C(C)(CC)S(CC)(=O)=O)(=O)(CC)=O,7,augmented
S1(=O)(=O)NC(C(Cl)Cl)Nc2cc(Cl)c(S(N)(=O)=O)cc21,8,augmented
O=S1(=O)c2c(cc(Cl)c(S(=O)(=O)N)c2)NC(C(Cl)Cl)N1,8,augmented
O=S(N)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,8,augmented
S(c1c(Cl)cc2c(c1)S(=O)(=O)NC(C(Cl)Cl)N2)(=O)(N)=O,8,augmented
c12c(cc(S(=O)(N)=O)c(Cl)c1)S(=O)(=O)NC(C(Cl)Cl)N2,8,augmented
O=S(c1c(Cl)cc2c(c1)S(=O)(=O)NC(C(Cl)Cl)N2)(N)=O,8,augmented
c1c(Cl)c(S(=O)(N)=O)cc2c1NC(C(Cl)Cl)NS2(=O)=O,8,augmented
NS(c1c(Cl)cc2c(c1)S(=O)(=O)NC(C(Cl)Cl)N2)(=O)=O,8,augmented
O=S1(=O)c2cc(S(=O)(N)=O)c(Cl)cc2NC(C(Cl)Cl)N1,8,augmented
CN1CCN(c2c(F)cc3c4n(cc(C(=O)O)c3=O)C(C)COc24)CC1,9,augmented
c1(C(O)=O)cn2c3c(c1=O)cc(F)c(N1CCN(C)CC1)c3OCC2C,9,augmented
C1N(C)CCN(c2c3c4c(c(=O)c(C(=O)O)cn4C(C)CO3)cc2F)C1,9,augmented
N1(c2c(F)cc3c4n(cc(C(=O)O)c3=O)C(C)COc42)CCN(C)CC1,9,augmented
C(=O)(O)c1c(=O)c2cc(F)c(N3CCN(C)CC3)c3c2n(c1)C(C)CO3,9,augmented
c1(F)cc2c(=O)c(C(=O)O)cn3c2c(c1N1CCN(C)CC1)OCC3C,9,augmented
c1(C(O)=O)c(=O)c2cc(F)c(N3CCN(C)CC3)c3c2n(c1)C(C)CO3,9,augmented
c1(F)c(N2CCN(C)CC2)c2c3n(cc(C(=O)O)c(=O)c3c1)C(C)CO2,9,augmented
C1Oc2c3c(c(=O)c(C(O)=O)cn3C1C)cc(F)c2N1CCN(C)CC1,9,augmented
c1cc(OC(=O)CN(CC)CC)ccc1NC(=O)C,10,augmented
c1c(NC(C)=O)ccc(OC(CN(CC)CC)=O)c1,10,augmented
C(N(CC)CC)C(=O)Oc1ccc(NC(=O)C)cc1,10,augmented
c1cc(OC(CN(CC)CC)=O)ccc1NC(C)=O,10,augmented
CCN(CC(=O)Oc1ccc(NC(=O)C)cc1)CC,10,augmented
c1(OC(CN(CC)CC)=O)ccc(NC(=O)C)cc1,10,augmented
C(C(=O)Oc1ccc(NC(=O)C)cc1)N(CC)CC,10,augmented
c1(NC(C)=O)ccc(OC(CN(CC)CC)=O)cc1,10,augmented
C(=O)(CN(CC)CC)Oc1ccc(NC(C)=O)cc1,10,augmented
c1(F)ccc2c(onc2C2CCN(CCCOc3ccc(C(=O)C)cc3OC)CC2)c1,11,augmented
c1cc(C(=O)C)cc(OC)c1OCCCN1CCC(c2noc3c2ccc(F)c3)CC1,11,augmented
N1(CCCOc2c(OC)cc(C(=O)C)cc2)CCC(c2c3c(cc(F)cc3)on2)CC1,11,augmented
C(CCOc1c(OC)cc(C(=O)C)cc1)N1CCC(c2c3ccc(F)cc3on2)CC1,11,augmented
C1C(c2noc3c2ccc(F)c3)CCN(CCCOc2c(OC)cc(C(C)=O)cc2)C1,11,augmented
c12cc(F)ccc1c(C1CCN(CCCOc3ccc(C(C)=O)cc3OC)CC1)no2,11,augmented
COc1c(OCCCN2CCC(c3noc4cc(F)ccc43)CC2)ccc(C(=O)C)c1,11,augmented
C(Oc1ccc(C(=O)C)cc1OC)CCN1CCC(c2c3c(on2)cc(F)cc3)CC1,11,augmented
c1cc(OCCCN2CCC(c3c4ccc(F)cc4on3)CC2)c(OC)cc1C(=O)C,11,augmented
C1C2Oc3c(O)ccc4c3C23CCN(C)C(C4)C3CC1,12,augmented
C1CC23C4Oc5c(O)ccc(c52)CC(N1C)C3CCC4,12,augmented
C1CCC2Oc3c4c(ccc3O)CC3C1C42CCN3C,12,augmented
c12c3ccc(O)c1OC1CCCC4C21CCN(C)C4C3,12,augmented
c1c2c3c(c(O)c1)OC1CCCC4C(N(C)CCC314)C2,12,augmented
c12c(O)ccc3c1C14CCN(C)C(C1CCCC4O2)C3,12,augmented
c1(O)ccc2c3c1OC1C34C(C(N(C)CC4)C2)CCC1,12,augmented
C1CN(C)C2Cc3c4c(c(O)cc3)OC3CCCC2C143,12,augmented
CN1CCC23C4CCCC2Oc2c(O)ccc(c23)CC14,12,augmented
C(N)(NO)=O,13,augmented
ONC(N)=O,13,augmented
N(O)C(N)=O,13,augmented
C(NO)(N)=O,13,augmented
ONC(=O)N,13,augmented
NC(NO)=O,13,augmented
O=C(N)NO,13,augmented
N(C(N)=O)O,13,augmented
N(C(=O)N)O,13,augmented
c1ccccc1C1=NCC(=O)N(CC2CC2)c2ccc(Cl)cc21,14,augmented
C1(=O)N(CC2CC2)c2ccc(Cl)cc2C(c2ccccc2)=NC1,14,augmented
N1=C(c2ccccc2)c2cc(Cl)ccc2N(CC2CC2)C(=O)C1,14,augmented
N1=C(c2ccccc2)c2c(ccc(Cl)c2)N(CC2CC2)C(=O)C1,14,augmented
C1(=O)CN=C(c2ccccc2)c2c(ccc(Cl)c2)N1CC1CC1,14,augmented
C1C(CN2C(=O)CN=C(c3ccccc3)c3c2ccc(Cl)c3)C1,14,augmented
c12c(ccc(Cl)c1)N(CC1CC1)C(=O)CN=C2c1ccccc1,14,augmented
c1c2c(ccc1Cl)N(CC1CC1)C(=O)CN=C2c1ccccc1,14,augmented
N1(CC2CC2)c2c(cc(Cl)cc2)C(c2ccccc2)=NCC1=O,14,augmented
c1(-c2ccc(CN3c4c(c(C)nc(C)n4)CCC3=O)cc2)ccccc1-c1nn[nH]n1,15,augmented
c12c(c(C)nc(C)n1)CCC(=O)N2Cc1ccc(-c2c(-c3n[nH]nn3)cccc2)cc1,15,augmented
[nH]1nc(-c2ccccc2-c2ccc(CN3C(=O)CCc4c(C)nc(C)nc43)cc2)nn1,15,augmented
C1(=O)N(Cc2ccc(-c3c(-c4nn[nH]n4)cccc3)cc2)c2c(c(C)nc(C)n2)CC1,15,augmented
c1(C)nc2c(c(C)n1)CCC(=O)N2Cc1ccc(-c2c(-c3nn[nH]n3)cccc2)cc1,15,augmented
c1cc(-c2ccc(CN3C(=O)CCc4c3nc(C)nc4C)cc2)c(-c2nn[nH]n2)cc1,15,augmented
N1(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C(=O)CCc2c(C)nc(C)nc21,15,augmented
C1(=O)CCc2c(nc(C)nc2C)N1Cc1ccc(-c2ccccc2-c2n[nH]nn2)cc1,15,augmented
c1c(-c2ccc(CN3C(=O)CCc4c(C)nc(C)nc43)cc2)c(-c2n[nH]nn2)ccc1,15,augmented
N(CCc1ccccn1)C,16,augmented
n1ccccc1CCNC,16,augmented
c1cccc(CCNC)n1,16,augmented
C(NC)Cc1ccccn1,16,augmented
c1(CCNC)ccccn1,16,augmented
CNCCc1ncccc1,16,augmented
C(Cc1ccccn1)NC,16,augmented
c1cnc(CCNC)cc1,16,augmented
n1c(CCNC)cccc1,16,augmented
c1cc2c(cc1)N(C(NC1CC3CCC(C1)N3C)=O)CC2(C)C,17,augmented
C(N1CC(C)(C)c2c1cccc2)(=O)NC1CC2CCC(N2C)C1,17,augmented
C1(C)(C)c2c(cccc2)N(C(=O)NC2CC3N(C)C(CC3)C2)C1,17,augmented
N1(C(NC2CC3CCC(C2)N3C)=O)CC(C)(C)c2c1cccc2,17,augmented
C1C(C)(C)c2ccccc2N1C(NC1CC2CCC(C1)N2C)=O,17,augmented
C12CC(NC(N3CC(C)(C)c4ccccc43)=O)CC(N1C)CC2,17,augmented
C1(C)(C)c2c(cccc2)N(C(NC2CC3N(C)C(CC3)C2)=O)C1,17,augmented
c1c2c(ccc1)C(C)(C)CN2C(NC1CC2CCC(N2C)C1)=O,17,augmented
c1ccc2c(c1)N(C(NC1CC3CCC(C1)N3C)=O)CC2(C)C,17,augmented
C1CCN(CC2CN(C)CCN2C(Cc2ccc(Cl)c(Cl)c2)=O)C1,18,augmented
c1(Cl)cc(CC(=O)N2CCN(C)CC2CN2CCCC2)ccc1Cl,18,augmented
C1(CN2CCCC2)N(C(=O)Cc2ccc(Cl)c(Cl)c2)CCN(C)C1,18,augmented
c1(CC(=O)N2C(CN3CCCC3)CN(C)CC2)ccc(Cl)c(Cl)c1,18,augmented
N1(C)CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,18,augmented
c1c(CC(=O)N2CCN(C)CC2CN2CCCC2)cc(Cl)c(Cl)c1,18,augmented
C(Cc1cc(Cl)c(Cl)cc1)(N1CCN(C)CC1CN1CCCC1)=O,18,augmented
O=C(N1C(CN2CCCC2)CN(C)CC1)Cc1ccc(Cl)c(Cl)c1,18,augmented
C1CCCN1CC1N(C(=O)Cc2ccc(Cl)c(Cl)c2)CCN(C)C1,18,augmented
N1(CCCN(C)C)c2ccccc2C(C)(C)c2c1cccc2,19,augmented
C(N1c2ccccc2C(C)(C)c2ccccc21)CCN(C)C,19,augmented
CN(CCCN1c2c(cccc2)C(C)(C)c2c1cccc2)C,19,augmented
C1(C)(C)c2c(cccc2)N(CCCN(C)C)c2c1cccc2,19,augmented
CN(C)CCCN1c2ccccc2C(C)(C)c2c1cccc2,19,augmented
c1c2c(ccc1)C(C)(C)c1c(cccc1)N2CCCN(C)C,19,augmented
c12ccccc1N(CCCN(C)C)c1c(cccc1)C2(C)C,19,augmented
N1(CCCN(C)C)c2c(cccc2)C(C)(C)c2c1cccc2,19,augmented
c1ccc2c(c1)N(CCCN(C)C)c1c(cccc1)C2(C)C,19,augmented
C12C(CCc3cc(O)ccc31)C1C(C)(CC2)C(=O)CC1,20,augmented
c1(O)ccc2c(c1)CCC1C3C(C)(CCC21)C(=O)CC3,20,augmented
Oc1ccc2c(c1)CCC1C3CCC(=O)C3(C)CCC21,20,augmented
C1CC2C(C)(CCC3c4ccc(O)cc4CCC32)C1=O,20,augmented
c1cc(O)cc2c1C1C(C3CCC(=O)C3(C)CC1)CC2,20,augmented
C12(C)C(=O)CCC1C1CCc3c(ccc(O)c3)C1CC2,20,augmented
c1c(O)cc2c(c1)C1C(C3C(C)(CC1)C(=O)CC3)CC2,20,augmented
C12C(C3C(C)(C(=O)CC3)CC1)CCc1cc(O)ccc12,20,augmented
C12CCc3cc(O)ccc3C1CCC1(C)C2CCC1=O,20,augmented
c1cccc(C2(C(OCC)=O)CCN(C)CC2)c1,21,augmented
CN1CCC(C(=O)OCC)(c2ccccc2)CC1,21,augmented
c1c(C2(C(OCC)=O)CCN(C)CC2)cccc1,21,augmented
C(C1(c2ccccc2)CCN(C)CC1)(OCC)=O,21,augmented
c1ccccc1C1(C(=O)OCC)CCN(C)CC1,21,augmented
C(C)OC(C1(c2ccccc2)CCN(C)CC1)=O,21,augmented
C1(c2ccccc2)(C(=O)OCC)CCN(C)CC1,21,augmented
c1(C2(C(=O)OCC)CCN(C)CC2)ccccc1,21,augmented
O=C(OCC)C1(c2ccccc2)CCN(C)CC1,21,augmented
c12c3c(cccc3C3CC(NS(N(C)C)(=O)=O)CN(C)C3C1)n(C)c2,22,augmented
C1C(NS(N(C)C)(=O)=O)CN(C)C2C1c1c3c(ccc1)n(C)cc3C2,22,augmented
CN1CC(NS(=O)(=O)N(C)C)CC2c3cccc4n(C)cc(c43)CC12,22,augmented
N(C1CC2C(Cc3c4c(n(C)c3)cccc42)N(C)C1)S(N(C)C)(=O)=O,22,augmented
C1C2c3cccc4n(C)cc(c34)CC2N(C)CC1NS(=O)(=O)N(C)C,22,augmented
c1cc2c3c(n(C)cc3CC3C2CC(NS(=O)(=O)N(C)C)CN3C)c1,22,augmented
c12c3cn(C)c1cccc2C1C(N(C)CC(NS(=O)(=O)N(C)C)C1)C3,22,augmented
C1C(NS(=O)(N(C)C)=O)CC2c3c4c(cn(C)c4ccc3)CC2N1C,22,augmented
c1c2c3c(cc1)n(C)cc3CC1C2CC(NS(N(C)C)(=O)=O)CN1C,22,augmented
C1CN(C)CCN1C1=c2ccccc2=Nc2c(cc(Cl)cc2)N1,23,augmented
c1ccc2c(c1)=C(N1CCN(C)CC1)Nc1c(ccc(Cl)c1)N=2,23,augmented
c1c(Cl)ccc2c1NC(N1CCN(C)CC1)=c1ccccc1=N2,23,augmented
c12c(cccc1)=C(N1CCN(C)CC1)Nc1cc(Cl)ccc1N=2,23,augmented
c12c(cccc1)=C(N1CCN(C)CC1)Nc1c(ccc(Cl)c1)N=2,23,augmented
c1c2c(ccc1Cl)N=c1ccccc1=C(N1CCN(C)CC1)N2,23,augmented
c12ccccc1=C(N1CCN(C)CC1)Nc1cc(Cl)ccc1N=2,23,augmented
c12cc(Cl)ccc1N=c1ccccc1=C(N1CCN(C)CC1)N2,23,augmented
C1(N2CCN(C)CC2)=c2ccccc2=Nc2c(cc(Cl)cc2)N1,23,augmented
c1ncnn1CC(O)(Cn1ncnc1)c1c(F)cc(F)cc1,24,augmented
c1c(F)ccc(C(O)(Cn2cncn2)Cn2ncnc2)c1F,24,augmented
n1(CC(Cn2cncn2)(c2c(F)cc(F)cc2)O)cncn1,24,augmented
n1cnn(CC(Cn2ncnc2)(O)c2ccc(F)cc2F)c1,24,augmented
C(C(c1c(F)cc(F)cc1)(Cn1cncn1)O)n1cncn1,24,augmented
n1cncn1CC(Cn1ncnc1)(c1ccc(F)cc1F)O,24,augmented
n1(CC(Cn2ncnc2)(O)c2c(F)cc(F)cc2)ncnc1,24,augmented
C(Cn1cncn1)(O)(Cn1cncn1)c1ccc(F)cc1F,24,augmented
C(Cn1ncnc1)(c1c(F)cc(F)cc1)(O)Cn1cncn1,24,augmented
c1(N)ccc(C(=O)O)c(O)c1,25,augmented
OC(=O)c1ccc(N)cc1O,25,augmented
c1(O)cc(N)ccc1C(O)=O,25,augmented
Nc1ccc(C(O)=O)c(O)c1,25,augmented
c1cc(C(O)=O)c(O)cc1N,25,augmented
OC(c1c(O)cc(N)cc1)=O,25,augmented
OC(=O)c1c(O)cc(N)cc1,25,augmented
c1cc(C(=O)O)c(O)cc1N,25,augmented
c1(N)cc(O)c(C(O)=O)cc1,25,augmented
C(=O)(OCCC(SC(C)=O)=C(N(Cc1c(N)nc(C)nc1)C=O)C)C,26,augmented
Nc1nc(C)ncc1CN(C(=C(CCOC(C)=O)SC(=O)C)C)C=O,26,augmented
n1c(N)c(CN(C=O)C(C)=C(SC(C)=O)CCOC(=O)C)cnc1C,26,augmented
c1c(CN(C=O)C(=C(SC(=O)C)CCOC(C)=O)C)c(N)nc(C)n1,26,augmented
Cc1nc(N)c(CN(C(C)=C(CCOC(=O)C)SC(=O)C)C=O)cn1,26,augmented
Nc1c(CN(C=O)C(=C(SC(C)=O)CCOC(C)=O)C)cnc(C)n1,26,augmented
c1(C)ncc(CN(C(C)=C(SC(C)=O)CCOC(C)=O)C=O)c(N)n1,26,augmented
C(CC(=C(N(C=O)Cc1c(N)nc(C)nc1)C)SC(=O)C)OC(=O)C,26,augmented
Nc1c(CN(C(=C(CCOC(=O)C)SC(C)=O)C)C=O)cnc(C)n1,26,augmented
OC(C(C)(C)ON=C(C(NC1C(=O)N(S(=O)(O)=O)C1C)=O)c1csc(N)n1)=O,27,augmented
S(O)(=O)(N1C(C)C(NC(C(=NOC(C)(C(O)=O)C)c2csc(N)n2)=O)C1=O)=O,27,augmented
OC(=O)C(ON=C(C(=O)NC1C(=O)N(S(=O)(O)=O)C1C)c1csc(N)n1)(C)C,27,augmented
Nc1scc(C(=NOC(C(O)=O)(C)C)C(NC2C(C)N(S(O)(=O)=O)C2=O)=O)n1,27,augmented
O=C(O)C(C)(C)ON=C(C(NC1C(=O)N(S(=O)(=O)O)C1C)=O)c1nc(N)sc1,27,augmented
N(C1C(=O)N(S(=O)(=O)O)C1C)C(C(c1csc(N)n1)=NOC(C)(C)C(=O)O)=O,27,augmented
C1(=O)C(NC(=O)C(c2csc(N)n2)=NOC(C)(C(=O)O)C)C(C)N1S(O)(=O)=O,27,augmented
n1c(N)scc1C(C(=O)NC1C(=O)N(S(=O)(=O)O)C1C)=NOC(C)(C(=O)O)C,27,augmented
CC(ON=C(c1nc(N)sc1)C(=O)NC1C(=O)N(S(O)(=O)=O)C1C)(C(=O)O)C,27,augmented
C(OC)C1(N(c2ccccc2)C(=O)CC)CCN(CCn2nnn(CC)c2=O)CC1,28,augmented
O=C(CC)N(C1(COC)CCN(CCn2c(=O)n(CC)nn2)CC1)c1ccccc1,28,augmented
C1N(CCn2c(=O)n(CC)nn2)CCC(N(c2ccccc2)C(=O)CC)(COC)C1,28,augmented
c1(=O)n(CCN2CCC(N(c3ccccc3)C(CC)=O)(COC)CC2)nnn1CC,28,augmented
n1nn(CC)c(=O)n1CCN1CCC(N(c2ccccc2)C(CC)=O)(COC)CC1,28,augmented
n1nn(CCN2CCC(N(c3ccccc3)C(=O)CC)(COC)CC2)c(=O)n1CC,28,augmented
C1C(N(c2ccccc2)C(CC)=O)(COC)CCN(CCn2c(=O)n(CC)nn2)C1,28,augmented
C(CC)(=O)N(C1(COC)CCN(CCn2c(=O)n(CC)nn2)CC1)c1ccccc1,28,augmented
CCn1nnn(CCN2CCC(N(C(CC)=O)c3ccccc3)(COC)CC2)c1=O,28,augmented
C(=NOC)(C(NC1C(=O)N2C(C(=O)O)=C(C=CSc3n[nH]c(=O)c(=O)n3CC=O)CSC21)=O)c1nc(N)sc1,29,augmented
n1c(SC=CC2=C(C(O)=O)N3C(C(NC(C(c4csc(N)n4)=NOC)=O)C3=O)SC2)n(CC=O)c(=O)c(=O)[nH]1,29,augmented
c1(N)scc(C(C(=O)NC2C3N(C(C(O)=O)=C(C=CSc4n(CC=O)c(=O)c(=O)[nH]n4)CS3)C2=O)=NOC)n1,29,augmented
O=C(C1=C(C=CSc2n[nH]c(=O)c(=O)n2CC=O)CSC2C(NC(=O)C(c3csc(N)n3)=NOC)C(=O)N12)O,29,augmented
c1(=O)c(=O)[nH]nc(SC=CC2=C(C(O)=O)N3C(SC2)C(NC(C(c2nc(N)sc2)=NOC)=O)C3=O)n1CC=O,29,augmented
C(C1=C(C=CSc2n(CC=O)c(=O)c(=O)[nH]n2)CSC2C(NC(C(c3csc(N)n3)=NOC)=O)C(=O)N12)(=O)O,29,augmented
c1(SC=CC2=C(C(O)=O)N3C(C(NC(C(c4csc(N)n4)=NOC)=O)C3=O)SC2)n(CC=O)c(=O)c(=O)[nH]n1,29,augmented
c1(SC=CC2=C(C(O)=O)N3C(C(NC(=O)C(=NOC)c4nc(N)sc4)C3=O)SC2)n(CC=O)c(=O)c(=O)[nH]n1,29,augmented
n1c(SC=CC2=C(C(=O)O)N3C(SC2)C(NC(C(=NOC)c2csc(N)n2)=O)C3=O)n(CC=O)c(=O)c(=O)[nH]1,29,augmented
c1cccc(C23OCCN2CC(=O)Nc2ccc(Br)cc23)c1F,30,augmented
N12CCOC1(c1c(F)cccc1)c1cc(Br)ccc1NC(=O)C2,30,augmented
c1cc(F)c(C23N(CC(=O)Nc4c2cc(Br)cc4)CCO3)cc1,30,augmented
c1cc(Br)cc2c1NC(=O)CN1CCOC21c1c(F)cccc1,30,augmented
c1c2c(ccc1Br)NC(=O)CN1C2(c2c(F)cccc2)OCC1,30,augmented
c1cc(F)c(C23N(CCO2)CC(=O)Nc2ccc(Br)cc23)cc1,30,augmented
c1cc(C23OCCN2CC(=O)Nc2ccc(Br)cc23)c(F)cc1,30,augmented
c1(F)ccccc1C12N(CCO1)CC(=O)Nc1c2cc(Br)cc1,30,augmented
c1c(F)c(C23N(CC(=O)Nc4c2cc(Br)cc4)CCO3)ccc1,30,augmented
c12ccccc1CCc1ccccc1C2=NOCCN(C)C,31,augmented
C1c2c(cccc2)C(=NOCCN(C)C)c2c(cccc2)C1,31,augmented
c12c(cccc1)C(=NOCCN(C)C)c1c(cccc1)CC2,31,augmented
C1Cc2ccccc2C(=NOCCN(C)C)c2ccccc21,31,augmented
C1(=NOCCN(C)C)c2c(cccc2)CCc2ccccc21,31,augmented
c1cccc2c1CCc1ccccc1C2=NOCCN(C)C,31,augmented
c1c2c(ccc1)CCc1ccccc1C2=NOCCN(C)C,31,augmented
c12ccccc1C(=NOCCN(C)C)c1c(cccc1)CC2,31,augmented
c1ccc2c(c1)CCc1ccccc1C2=NOCCN(C)C,31,augmented
c1c(C(O)CN)ccc(O)c1O,32,augmented
Oc1ccc(C(O)CN)cc1O,32,augmented
C(C(O)c1cc(O)c(O)cc1)N,32,augmented
Oc1c(O)cc(C(O)CN)cc1,32,augmented
c1(C(CN)O)ccc(O)c(O)c1,32,augmented
c1(O)c(O)cc(C(CN)O)cc1,32,augmented
c1(O)cc(C(O)CN)ccc1O,32,augmented
C(CN)(O)c1cc(O)c(O)cc1,32,augmented
OC(CN)c1ccc(O)c(O)c1,32,augmented
C1(C2N(C)CCc3cc4c(c(OC)c32)OCO4)c2ccc(OC)c(OC)c2C(=O)O1,33,augmented
C1N(C)C(C2c3ccc(OC)c(OC)c3C(=O)O2)c2c(cc3c(c2OC)OCO3)C1,33,augmented
c1c(OC)c(OC)c2c(c1)C(C1N(C)CCc3c1c(OC)c1c(c3)OCO1)OC2=O,33,augmented
